cluster1,cluster2,cluster3,cluster4
0.0674,0.9111,0.0015,0.0201
0.0514,0.9477,0,0.0009
0.0875,0.8883,0.0205,0.0037
0,0.9684,0.0039,0.0278
0.0338,0.1326,0.0498,0.7837
0.1031,0.8765,0,0.0204
0,1,0,0
0,1,0,0
0,0.9803,0.0003,0.0194
0.0919,0.5467,0.0216,0.3398
0.0656,0.9311,0,0.0033
0.0083,0.5167,0.1571,0.3179
0.2705,0.7294,0.0001,0
0.0316,0.937,0.0021,0.0292
0.0255,0.5816,0.0191,0.3738
0.0393,0.9423,0.001,0.0174
0.0024,0.2039,0.6639,0.1298
0.9525,0,0.0199,0.0276
0.057,0.9429,0.0001,0
0,0.9983,0,0.0017
0,0.9897,0,0.0103
0,1,0,0
0,0.277,0.5789,0.1441
0.0453,0.9183,0.0364,0
0.0405,0.9595,0,0
0,0.9986,0,0.0014
0.0795,0.9001,0,0.0204
0,1,0,0
0,0.2483,0.6468,0.1049
0,1,0,0
0,0.9853,0,0.0147
0,0.2695,0.6125,0.118
0,0.257,0.59,0.1531
0.0711,0.9275,0.0002,0.0012
0,1,0,0
0.0552,0.9217,0,0.0232
0,0.9886,0.0099,0.0016
0.0609,0,0.0739,0.8651
0.1143,0.8855,0,0.0002
0.9102,0.0019,0.0035,0.0844
0.0764,0.8264,0.0358,0.0614
0.8464,0.0027,0.0369,0.114
0.043,0.0007,0.0562,0.9
0.0368,0.0018,0.0608,0.9007
0.8719,0.0356,0.0245,0.068
0.8961,0.0252,0,0.0787
0.9058,0,0.028,0.0662
0.8737,0.0235,0.0038,0.0991
0.8954,0.0278,0,0.0767
0.9259,0.0001,0.0092,0.0649
0.0272,0.9276,0.0197,0.0255
0.16,0.7601,0.0327,0.0473
0.0873,0.9127,0,0
0.1177,0,0.051,0.8313
0.8962,0.0181,0.0235,0.0622
0.0497,0.9497,0,0.0006
0.5916,0.0105,0.0296,0.3682
0.0702,0.9155,0.0124,0.0019
0.435,0,0.5447,0.0203
0.8324,0.0607,0.0654,0.0415
0.9386,0,0,0.0614
0.4212,0,0.5709,0.008
0.9024,0.0072,0.0065,0.0839
0.9218,0.008,0,0.0701
0.6676,0.0171,0.3109,0.0043
0.3128,0.0301,0.6487,0.0084
0.3555,0,0.6242,0.0203
0.4018,0,0.5845,0.0137
0.4875,0,0.5114,0.0012
0.8864,0.0449,0.0105,0.0582
0.9045,0.0048,0,0.0907
0.8829,0.0187,0.0288,0.0695
